,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cabo San Lucas,MX,22.89,-109.91,86.0,58,90,9.17,overcast clouds
1,Kodiak,US,57.79,-152.41,60.8,72,1,6.93,clear sky
2,Puerto Ayora,EC,-0.74,-90.35,66.99,94,89,4.0,overcast clouds
3,Belmonte,BR,-15.86,-38.88,75.2,78,40,10.29,scattered clouds
4,Cururupu,BR,-1.83,-44.87,75.42,84,0,4.85,clear sky
5,Barrow,US,71.29,-156.79,57.2,71,1,9.17,clear sky
6,Yellowknife,CA,62.46,-114.35,64.4,72,75,8.05,broken clouds
7,Yarada,IN,17.65,83.27,80.6,94,90,9.17,drizzle
8,Nanortalik,GL,60.14,-45.24,47.98,67,0,5.08,clear sky
9,Padang,ID,-0.95,100.35,81.5,69,18,3.04,few clouds
10,Barcelos,PT,41.54,-8.62,68.0,94,75,10.29,broken clouds
11,Vaini,TO,-21.2,-175.2,73.4,94,90,16.11,overcast clouds
12,Jamestown,US,42.1,-79.24,66.0,68,1,5.82,clear sky
13,Ushuaia,AR,-54.8,-68.3,32.0,90,40,17.22,scattered clouds
14,Chuy,UY,-33.7,-53.46,51.69,92,0,3.65,clear sky
15,Arlit,NE,18.74,7.39,93.0,28,62,2.98,broken clouds
16,Cherskiy,RU,68.75,161.3,44.85,86,100,6.89,overcast clouds
17,Laguna,US,38.42,-121.42,105.8,24,20,4.7,few clouds
18,Mayo,US,38.89,-76.51,78.8,65,1,4.7,light rain
19,Kosonsoy,UZ,41.26,71.55,66.2,68,0,4.7,clear sky
20,Souillac,MU,-20.52,57.52,71.6,73,40,14.99,scattered clouds
21,Hasaki,JP,35.73,140.83,87.01,70,75,3.36,broken clouds
22,Karachi,PK,24.91,67.08,86.0,74,75,5.82,broken clouds
23,Puerto Leguizamo,CO,-0.19,-74.78,80.83,69,74,1.3,broken clouds
24,General Roca,AR,-39.03,-67.58,44.6,42,0,5.82,clear sky
25,Nhulunbuy,AU,-12.23,136.77,80.6,61,20,10.29,few clouds
26,Tiksi,RU,71.69,128.87,39.96,77,93,12.5,overcast clouds
27,Talnakh,RU,69.49,88.4,62.6,51,7,6.71,clear sky
28,Lasa,IT,46.62,10.7,48.2,93,90,2.24,overcast clouds
29,Georgetown,MY,5.41,100.34,80.6,94,20,2.24,few clouds
30,Adelaide,AU,-34.93,138.6,55.99,76,75,23.04,broken clouds
31,Sangar,RU,63.92,127.47,64.99,45,37,9.08,scattered clouds
32,Dordrecht,NL,51.81,4.67,64.99,89,0,5.23,clear sky
33,Dunedin,NZ,-45.87,170.5,55.0,69,100,14.0,overcast clouds
34,Mataura,NZ,-46.19,168.86,55.09,67,100,3.27,overcast clouds
35,Punta Arenas,CL,-53.15,-70.92,33.8,59,57,14.99,broken clouds
36,Albany,US,42.6,-73.97,71.01,90,0,5.26,clear sky
37,Kavieng,PG,-2.57,150.8,84.45,69,44,7.27,scattered clouds
38,Mahebourg,MU,-20.41,57.7,71.6,73,40,14.99,scattered clouds
39,Arraial Do Cabo,BR,-22.97,-42.03,73.4,83,0,11.41,clear sky
40,Sungaipenuh,ID,-2.08,101.38,70.9,81,93,1.68,overcast clouds
41,Vila Velha,BR,-20.33,-40.29,73.4,83,2,8.05,clear sky
